Uniprot_ID	KEGG_Gene_ID
O55074	mmu:432442
O55082	mmu:19256
O55087	NA
O55091	mmu:16210
O55098	mmu:20868
O55100	mmu:20972
O55102	mmu:14533
O55103	mmu:19153
O55111	mmu:13511
O55112	mmu:14266
O55123	mmu:17384
O55127	mmu:13082
O55128	mmu:20220
O55131	mmu:235072
O55134	mmu:53601
O55135	mmu:16418
O55137	mmu:26897
O55142	mmu:57808
O55143	mmu:11938
O55144	mmu:27140
O55176	mmu:18744
O55183	mmu:20855
O55186	mmu:12509
O55187	mmu:12418
O55188	mmu:13406
O55192	mmu:20538
O55201	mmu:20924
O55203	mmu:16826
O55208	mmu:26910
O55222	mmu:16202
O55225	mmu:18419
O55229	mmu:12651
O55230	mmu:19364
O55233	mmu:12622
O55234	mmu:19173
O55236	mmu:24018
O55237	mmu:21948
O55239	mmu:18113
O55240	mmu:19682
O55241	mmu:15171
O55242	mmu:18391
O70126	mmu:20877
O70131	mmu:18081
O70133	mmu:13211
O70137	mmu:11694
O70138	mmu:17394
O70145	mmu:17970
O70146	mmu:21754
O70152	mmu:13480
O70157	mmu:21975
O70161	mmu:18717
O70165	mmu:14133
O70166	mmu:20262
O70167	mmu:18705
O70172	mmu:18718
O70174	mmu:11438
O70176	mmu:11516
O70191	mmu:107503
O70194	mmu:55944
O70200	mmu:11629
O70201	mmu:11799
O70228	mmu:11981
O70237	mmu:14582
O70250	mmu:56012
O70255	NA
O70258	mmu:20392
O70263	mmu:16924
O70274	mmu:19244
O70281	mmu:22021
O70283	mmu:22414
O70293	mmu:26385
O70299	mmu:17116
O70302	mmu:12683
O70303	mmu:12684
O70305	mmu:20239
O70306	mmu:21384
O70309	mmu:16419
O70310	mmu:18107
O70318	mmu:13822
O70324	mmu:20502
O70325	mmu:625249
O70326	mmu:23892
O70337	mmu:12124
O70342	mmu:18168
O70343	mmu:19017
O70348	mmu:112403
O70361	mmu:18628
O70362	NA
O70370	mmu:13040
O70372	mmu:21752
O70373	NA
O70374	mmu:12396
O70394	mmu:50931
O70400	mmu:54132
O70404	mmu:22320
O70405	mmu:22241
O70421	mmu:14362
O70423	mmu:11754
O70433	mmu:14200
O70435	mmu:19167
O70443	mmu:14687
O70445	mmu:12021
O70451	mmu:20503
O70456	mmu:55948
O70458	mmu:18414
O70460	mmu:24047
O70468	NA
O70469	mmu:13449
O70475	mmu:22235
O70477	mmu:18771
O70480	mmu:53330
O70481	mmu:22222
O70491	mmu:20897
O70492	NA
O70494	mmu:20687
O70496	mmu:26373
O70497	mmu:14134
O70503	mmu:56348
O70507	mmu:330953
O70514	mmu:14181
O70546	mmu:22289
O70548	mmu:21393
O70551	mmu:20815
O70552	mmu:56057
O70566	NA
O70571	mmu:27273
O70572	mmu:20598
O70576	mmu:50878
O70577	mmu:20518
O70578	mmu:12299
O70579	mmu:20524
